
Epoch 450/1000, Train Loss: 0.19550868272781372, Val Loss: 0.17117518186569214, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 460/1000, Train Loss: 0.18514640077948571, Val Loss: 0.1700555980205536, Train Acc: 0.90625, Val Acc: 0.8999999761581421
Epoch 470/1000, Train Loss: 0.2079627901315689, Val Loss: 0.16850343346595764, Train Acc: 0.90375, Val Acc: 0.9049999713897705
Epoch 480/1000, Train Loss: 0.17789814591407777, Val Loss: 0.1702522486448288, Train Acc: 0.92375, Val Acc: 0.9049999713897705
Epoch 490/1000, Train Loss: 0.20179698526859283, Val Loss: 0.17750635743141174, Train Acc: 0.90625, Val Acc: 0.8999999761581421
Epoch 500/1000, Train Loss: 0.19234908282756805, Val Loss: 0.17102228105068207, Train Acc: 0.905, Val Acc: 0.8999999761581421
Epoch 510/1000, Train Loss: 0.1852374216169119, Val Loss: 0.16976138949394226, Train Acc: 0.9225, Val Acc: 0.9049999713897705
Epoch 520/1000, Train Loss: 0.18222985193133354, Val Loss: 0.16924457252025604, Train Acc: 0.90375, Val Acc: 0.9049999713897705
Epoch 530/1000, Train Loss: 0.1856624287366867, Val Loss: 0.17267756164073944, Train Acc: 0.92375, Val Acc: 0.9049999713897705
Epoch 540/1000, Train Loss: 0.18199983209371567, Val Loss: 0.16828325390815735, Train Acc: 0.925, Val Acc: 0.9049999713897705
Epoch 550/1000, Train Loss: 0.20118020445108414, Val Loss: 0.16738708317279816, Train Acc: 0.905, Val Acc: 0.9049999713897705
Epoch 560/1000, Train Loss: 0.18505800783634185, Val Loss: 0.1690896451473236, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 570/1000, Train Loss: 0.20167057767510413, Val Loss: 0.18210917711257935, Train Acc: 0.89125, Val Acc: 0.9049999713897705
Epoch 580/1000, Train Loss: 0.19682317078113556, Val Loss: 0.16517455875873566, Train Acc: 0.895, Val Acc: 0.9049999713897705
Epoch 590/1000, Train Loss: 0.19109198421239854, Val Loss: 0.18408657610416412, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 600/1000, Train Loss: 0.18349883630871772, Val Loss: 0.17666667699813843, Train Acc: 0.9025, Val Acc: 0.9049999713897705
